fecha_carga;Nombre_encuestador;Fecha_encuesta;Datos_muestra;Escuela ;Especialidad;Turno;Año;Curso;Sexo;Edad;Diabetes;Celiaco;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Desayuno];Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Almuerzo];Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Merienda];Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Cena];Alimento Fuente [Azúcares/Hidratos de carbono];Alimento Fuente [Proteínas];Alimento Fuente [Aceites];Alimento Fuente [Fibras];Lees_información_nutricional_de_envases;Entendes_que_significan;De_que_envases_provienen;Grupo_alimentario;consumiste_alcohol;consumiste_alcohol_este_anio;consumiste_alcohol_este_mes;consumiste_alcohol_esta_semana;tuviste_un_exceso_de_alcohol;como_te_sentis_con_tu_pes;como_te_sentis_en_funcion_del_peso;Tipo_frecuencia_actividades_físicas_Deportes;Tipo_frecuencia_actividades_físicas_Danza;Tipo_frecuencia_actividades_físicas_Gimnasio;Tipo_frecuencia_actividades_físicas_Caminatas;Tipo_frecuencia_actividades_físicas_Otras;Observaciones
28/11/2017 16:09:35;Guillermo Alejandro Mora ;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Masculino;18;No;No;06:00:00;galletita;te;08:30:00;facturas;cafe;12:00:00;fideos_tuco_;gaseosa;15:00:00;galletitas;gaseosa;22:30:00;fideos;gaseosa;;;;;;;¿Comistes con otros?, ¿Comiste en otro lugar?, ¿Cocinaste vos?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;Tallarines;Pescado;Semillas de girasol;Verduras;Nunca;Entiendo en partes;Arroz;Otros;Sí;Sí;Sí;Sí;Sí;5;5;Martes, Jueves, Viernes, Sábado;;Martes;Lunes, Jueves, Domingo;MIércoles;
28/11/2017 16:18:18;Samanta Vilches;23/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;17;No;No;12:00:00;guiso_de_arroz_con_pollo;agua;15:20:00;pan;te;10:00:00;pan_con_dulce_de_leche;mates;22:00:00;pizza;gaseosa;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Semillas de girasol;Verduras;Pescado;Tallarines;A veces;Entiendo en partes;Papas fritas;Otros;Sí;Sí;Sí;No;Sí;8;9;Viernes, Sábado;;Martes;;;
28/11/2017 16:24:07;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Masculino;13;No;No;09:30:00;galletitas;café;12:00:00;tallarines_con_tuco_gelatina_ensalada_de_fruta_sandwich_de_miga;jugo;18:00:00;;agua;21:00:00;naranja_y_banana;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Comiste en otro lugar?, ¿Cocinó otra persona?;;;;;Nunca;Entiendo en partes;Arroz;Otros;Sí;Sí;Sí;No;No;5;5;Lunes, MIércoles;;Martes, Jueves;Martes, Jueves, Viernes;Sábado, Domingo;No realizó el punto 3. 
28/11/2017 16:24:32;Guillermo Alejandro mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Masculino;17;No;No;09:30:00;cereales_avena_masitas;yogurt_agua;12:00:00;carne_al_horno_con_papas;gaseosa_jugo;;;;;;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Cocinó otra persona?, ¿Compraste?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Tallarines;Pescado;Semillas de girasol;Verduras;A veces;Entiendo en partes;Papas fritas;Otros;Sí;Sí;Sí;No;No;8;5;Lunes;;Lunes;;Lunes;afirma el entrevistado que merendo, pero en el listado de las comidas no coloca correctamente las comidas
28/11/2017 16:32:48;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Masculino;17;No;No;10:30:00;galletitas_frolitas;mate;12:30:00;tallarines_caseros_con_bife_carne;agua_jugo;15:30:00;pan_con_dulce_de_leche;te;19:00:00;manzana;;23:00:00;milanesa_de_pollo_con_ensalada;agua_jugo_mate;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;Tallarines;Verduras;;Semillas de girasol;A veces;Entiendo todo;Papas fritas;Otros;Sí;Sí;Sí;No;No;9;5;Viernes, Domingo;;;;Viernes, Sábado;
28/11/2017 16:33:29;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Femenino;18;No;No;12:45:00;carne_con_capelettini;jugo;15:00:00;budines_grisines;tereres;18:00:00;helado;;00:00:00;hamburguesa_de_carne;jugo;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;Tallarines;Verduras;Pescado;Semillas de girasol;Nunca;Entiendo en partes;Arroz;Otros;Sí;Sí;Sí;Sí;Sí;7;5;;;;;;el encuestado no realiza deportes
28/11/2017 16:44:31;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Masculino;17;No;No;07:00:00;masita;te;11:00:00;pizza;jugo;15:30:00;pan;te;01:00:00;huevo_revuelto;gaseosa_cola;;;;;;;;;;¿Comiste solo?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Tallarines;Verduras;Pescado;Semillas de girasol;Nunca;Entiendo en partes;Papas fritas;Otros;Sí;Sí;Sí;Sí;No;7;3;Martes, Jueves;;Lunes, MIércoles, Viernes;;;En caso de las comidas no aclaro de que es la pizza. En caso de la merienda en la segunda pregunta, cuando se le pide que diga donde comio, selecciono la opcion en casa y en la escuela.
28/11/2017 16:45:31;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Masculino;14;No;No;09:00:00;pan_con_dulce_de_leche;mate_cocido;13:00:00;chorizo;jugo_de_naranja;18:00:00;masitas_dulces;mate_cocido;22:00:00;tallarines_con_tuco;;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Semillas de girasol;Pescado;Tallarines;Verduras;A veces;No entiendo nada;Arroz;Otros;Sí;Sí;Sí;Sí;No;10;6;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;;;;;
28/11/2017 16:46:06;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Femenino;17;No;No;12:30:00;milanesa_con_arroz;jugo;16:30:00;masitas;mate;20:00:00;tutucas;gaseosa;23:00:00;pastelito;mate_jugo;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;;¿Cocinó otra persona?;Tallarines;Verduras;Semillas de girasol;Pescado;A veces;No entiendo nada;Arroz;Otros;No;No;No;No;No contesta;7;6;;Viernes, Sábado;;Lunes, Martes, Jueves, Viernes, Sábado;;
28/11/2017 16:48:53;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;17;No;No;10:00:00;facturas;mate_te;13:00:00;arroz_con_pollo;;15:30:00;manzana;;;;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;;Tallarines;Verduras;Semillas de girasol;;Nunca;Entiendo en partes;Papas fritas;Otros;Sí;Sí;Sí;Sí;Sí;4;5;;;Martes, Jueves;Lunes, Martes, MIércoles, Jueves, Viernes;;
28/11/2017 16:55:43;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Masculino;15;No;No;12:00:00;hamburguesa_carne_fritas;gaseosa;15:30:00;sandwich_de_miga;gaseosa;19:00:00;rocklets;;20:00:00;turron_masitas;tereres;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;;;Verduras;Semillas de girasol;Pescado;A veces;Entiendo en partes;Arroz;Vegetariano;Sí;Sí;Sí;Sí;Sí;9;4;Martes, Jueves;;Martes, Jueves;Lunes, Martes, MIércoles, Jueves, Viernes;;
28/11/2017 16:56:13;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;17;No;No;16:00:00;fiambre_con_pa_ensalada_de_tomate;mate;;;;;;;;;;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Compraste?;;¿Comistes con otros?, ¿Comiste en casa?, ¿Compraste?;Tallarines;Verduras;Semillas de girasol;;A veces;Entiendo en partes;Papas fritas;Otros;Sí;Sí;No;No;No;6;5;Martes;;;;Sábado;"En la primera pregunta asegura haber comido a las 16hs y en la siguiente pregunta completo que realizo almuerzo y cena; no hay correlacion con el horario de ingesta de alimentos."
